Date,DAX
"Apr 07, 2021","15,176.36"
"Apr 06, 2021","15,212.68"
"Apr 01, 2021","15,107.17"
"Mar 31, 2021","15,008.34"
"Mar 30, 2021","15,008.61"
"Mar 29, 2021","14,817.72"
"Mar 26, 2021","14,748.94"
"Mar 25, 2021","14,621.36"
"Mar 24, 2021","14,610.39"
"Mar 23, 2021","14,662.02"
"Mar 22, 2021","14,657.21"
"Mar 19, 2021","14,621.00"
"Mar 18, 2021","14,775.52"
"Mar 17, 2021","14,596.61"
"Mar 16, 2021","14,557.58"
"Mar 15, 2021","14,461.42"
"Mar 12, 2021","14,502.39"
"Mar 11, 2021","14,569.39"
"Mar 10, 2021","14,540.25"
"Mar 09, 2021","14,437.94"
"Mar 08, 2021","14,380.91"
"Mar 05, 2021","13,920.69"
"Mar 04, 2021","14,056.34"
"Mar 03, 2021","14,080.03"
"Mar 02, 2021","14,039.80"
"Mar 01, 2021","14,012.82"
"Feb 26, 2021","13,786.29"
"Feb 25, 2021","13,879.33"
"Feb 24, 2021","13,976.00"
"Feb 23, 2021","13,864.81"
"Feb 22, 2021","13,950.04"
"Feb 19, 2021","13,993.23"
"Feb 18, 2021","13,886.93"
"Feb 17, 2021","13,909.27"
"Feb 16, 2021","14,064.60"
"Feb 15, 2021","14,109.48"
"Feb 12, 2021","14,049.89"
"Feb 11, 2021","14,040.91"
"Feb 10, 2021","13,932.97"
"Feb 09, 2021","14,011.80"
"Feb 08, 2021","14,059.91"
"Feb 05, 2021","14,056.72"
"Feb 04, 2021","14,060.29"
"Feb 03, 2021","13,933.63"
"Feb 02, 2021","13,835.16"
"Feb 01, 2021","13,622.02"
"Jan 29, 2021","13,432.87"
"Jan 28, 2021","13,665.93"
"Jan 27, 2021","13,620.46"
"Jan 26, 2021","13,870.99"
"Jan 25, 2021","13,643.95"
"Jan 22, 2021","13,873.97"
"Jan 21, 2021","13,906.67"
"Jan 20, 2021","13,921.37"
"Jan 19, 2021","13,815.06"
"Jan 18, 2021","13,848.35"
"Jan 15, 2021","13,787.73"
"Jan 14, 2021","13,988.70"
"Jan 13, 2021","13,939.71"
