Date,GBPUS
"Apr 07, 2021",1.3745
"Apr 06, 2021",1.3823
"Apr 05, 2021",1.3897
"Apr 02, 2021",1.3829
"Apr 01, 2021",1.383
"Mar 31, 2021",1.3779
"Mar 30, 2021",1.3739
"Mar 29, 2021",1.3759
"Mar 26, 2021",1.3787
"Mar 25, 2021",1.3732
"Mar 24, 2021",1.3683
"Mar 23, 2021",1.375
"Mar 22, 2021",1.3863
"Mar 19, 2021",1.3868
"Mar 18, 2021",1.392
"Mar 17, 2021",1.3963
"Mar 16, 2021",1.3887
"Mar 15, 2021",1.3893
"Mar 12, 2021",1.3922
"Mar 11, 2021",1.399
"Mar 10, 2021",1.393
"Mar 09, 2021",1.3893
"Mar 08, 2021",1.3824
"Mar 05, 2021",1.3841
"Mar 04, 2021",1.3894
"Mar 03, 2021",1.3953
"Mar 02, 2021",1.3953
"Mar 01, 2021",1.3922
"Feb 26, 2021",1.3932
"Feb 25, 2021",1.4013
"Feb 24, 2021",1.4139
"Feb 23, 2021",1.411
"Feb 22, 2021",1.4061
"Feb 19, 2021",1.4014
"Feb 18, 2021",1.3971
"Feb 17, 2021",1.3853
"Feb 16, 2021",1.3901
"Feb 15, 2021",1.3903
"Feb 12, 2021",1.3844
"Feb 11, 2021",1.3815
"Feb 10, 2021",1.3828
"Feb 09, 2021",1.3814
"Feb 08, 2021",1.3738
"Feb 05, 2021",1.3733
"Feb 04, 2021",1.367
"Feb 03, 2021",1.3644
"Feb 02, 2021",1.3665
"Feb 01, 2021",1.3661
"Jan 29, 2021",1.3702
"Jan 28, 2021",1.3718
"Jan 27, 2021",1.3686
"Jan 26, 2021",1.3733
"Jan 25, 2021",1.3674
"Jan 22, 2021",1.3684
"Jan 21, 2021",1.3732
"Jan 20, 2021",1.3653
"Jan 19, 2021",1.3628
"Jan 18, 2021",1.3584
"Jan 15, 2021",1.3586
"Jan 14, 2021",1.3687
"Jan 13, 2021",1.3637
"Jan 12, 2021",1.3663
"Jan 11, 2021",1.3514
"Jan 08, 2021",1.3563
"Jan 07, 2021",1.3563
"Jan 06, 2021",1.3607
"Jan 05, 2021",1.3624
"Jan 04, 2021",1.3569
"Jan 01, 2021",1.3671
"Dec 31, 2020",1.3673
"Dec 30, 2020",1.3622
