Date,GER10Y
"Apr 07, 2021",-0.322
"Apr 06, 2021",-0.315
"Apr 05, 2021",-0.329
"Apr 02, 2021",-0.329
"Apr 01, 2021",-0.325
"Mar 31, 2021",-0.292
"Mar 30, 2021",-0.277
"Mar 29, 2021",-0.32
"Mar 26, 2021",-0.349
"Mar 25, 2021",-0.385
"Mar 24, 2021",-0.356
"Mar 23, 2021",-0.342
"Mar 22, 2021",-0.31
"Mar 19, 2021",-0.294
"Mar 18, 2021",-0.265
"Mar 17, 2021",-0.293
"Mar 16, 2021",-0.339
"Mar 15, 2021",-0.337
"Mar 12, 2021",-0.295
"Mar 11, 2021",-0.331
"Mar 10, 2021",-0.311
"Mar 09, 2021",-0.303
"Mar 08, 2021",-0.28
"Mar 05, 2021",-0.304
"Mar 04, 2021",-0.311
"Mar 03, 2021",-0.297
"Mar 02, 2021",-0.348
"Mar 01, 2021",-0.333
"Feb 26, 2021",-0.257
"Feb 25, 2021",-0.227
"Feb 24, 2021",-0.304
"Feb 23, 2021",-0.319
"Feb 22, 2021",-0.346
"Feb 19, 2021",-0.313
"Feb 18, 2021",-0.342
"Feb 17, 2021",-0.363
"Feb 16, 2021",-0.349
"Feb 15, 2021",-0.384
"Feb 12, 2021",-0.43
"Feb 11, 2021",-0.458
"Feb 10, 2021",-0.438
"Feb 09, 2021",-0.448
"Feb 08, 2021",-0.443
"Feb 05, 2021",-0.443
"Feb 04, 2021",-0.456
"Feb 03, 2021",-0.467
"Feb 02, 2021",-0.488
"Feb 01, 2021",-0.513
"Jan 29, 2021",-0.52
"Jan 28, 2021",-0.542
"Jan 27, 2021",-0.549
"Jan 26, 2021",-0.531
"Jan 25, 2021",-0.55
"Jan 22, 2021",-0.513
"Jan 21, 2021",-0.498
"Jan 20, 2021",-0.529
"Jan 19, 2021",-0.527
"Jan 18, 2021",-0.525
"Jan 15, 2021",-0.542
"Jan 14, 2021",-0.548
"Jan 13, 2021",-0.524
"Jan 12, 2021",-0.469
"Jan 11, 2021",-0.491
"Jan 08, 2021",-0.517
"Jan 07, 2021",-0.546
"Jan 06, 2021",-0.546
"Jan 05, 2021",-0.584
"Jan 04, 2021",-0.599
"Jan 01, 2021",-0.572
"Dec 31, 2020",-0.575
"Dec 30, 2020",-0.57
"Dec 29, 2020",-0.576
"Dec 28, 2020",-0.563
"Dec 24, 2020",-0.55
"Dec 23, 2020",-0.543
"Dec 22, 2020",-0.591
"Dec 21, 2020",-0.581
"Dec 18, 2020",-0.572
"Dec 17, 2020",-0.577
"Dec 16, 2020",-0.568
"Dec 15, 2020",-0.61
"Dec 14, 2020",-0.618
"Dec 11, 2020",-0.638
"Dec 10, 2020",-0.602
"Dec 09, 2020",-0.605
"Dec 08, 2020",-0.613
"Dec 07, 2020",-0.585
"Dec 04, 2020",-0.543
"Dec 03, 2020",-0.548
"Dec 02, 2020",-0.521
"Dec 01, 2020",-0.524
"Nov 30, 2020",-0.571
"Nov 27, 2020",-0.585
"Nov 26, 2020",-0.587
"Nov 25, 2020",-0.572
"Nov 24, 2020",-0.565
"Nov 23, 2020",-0.578
"Nov 21, 2020",-0.584
"Nov 20, 2020",-0.583
"Nov 19, 2020",-0.569
"Nov 18, 2020",-0.554
