Date,GOLD
"Mar 29, 2021","1,727.05"
"Mar 28, 2021","1,732.50"
"Mar 26, 2021","1,732.30"
"Mar 25, 2021","1,725.10"
"Mar 24, 2021","1,733.20"
"Mar 23, 2021","1,725.10"
"Mar 22, 2021","1,738.10"
"Mar 19, 2021","1,741.70"
"Mar 18, 2021","1,732.50"
"Mar 17, 2021","1,727.10"
"Mar 16, 2021","1,730.90"
"Mar 15, 2021","1,729.20"
"Mar 12, 2021","1,719.80"
"Mar 11, 2021","1,722.60"
"Mar 10, 2021","1,721.80"
"Mar 09, 2021","1,716.90"
"Mar 08, 2021","1,678.00"
"Mar 05, 2021","1,698.50"
"Mar 04, 2021","1,700.70"
"Mar 03, 2021","1,715.80"
"Mar 02, 2021","1,733.60"
"Mar 01, 2021","1,723.00"
"Feb 26, 2021","1,728.80"
"Feb 25, 2021","1,775.40"
"Feb 24, 2021","1,797.90"
"Feb 23, 2021","1,805.90"
"Feb 22, 2021","1,808.40"
"Feb 19, 2021","1,777.40"
"Feb 18, 2021","1,775.00"
"Feb 17, 2021","1,772.80"
"Feb 16, 2021","1,799.00"
"Feb 15, 2021","1,818.75"
"Feb 14, 2021","1,821.05"
"Feb 12, 2021","1,823.20"
"Feb 11, 2021","1,826.80"
"Feb 10, 2021","1,842.70"
"Feb 09, 2021","1,837.50"
"Feb 08, 2021","1,834.20"
"Feb 05, 2021","1,813.00"
"Feb 04, 2021","1,791.20"
"Feb 03, 2021","1,835.10"
"Feb 02, 2021","1,833.40"
"Feb 01, 2021","1,863.90"
"Jan 29, 2021","1,850.30"
"Jan 28, 2021","1,841.20"
"Jan 27, 2021","1,848.90"
"Jan 26, 2021","1,854.80"
"Jan 25, 2021","1,859.00"
"Jan 22, 2021","1,856.20"
"Jan 21, 2021","1,865.90"
"Jan 20, 2021","1,866.50"
"Jan 19, 2021","1,840.20"
"Jan 18, 2021","1,836.60"
"Jan 17, 2021","1,809.75"
"Jan 15, 2021","1,829.90"
"Jan 14, 2021","1,851.40"
"Jan 13, 2021","1,854.90"
"Jan 12, 2021","1,844.20"
"Jan 11, 2021","1,850.80"
"Jan 08, 2021","1,835.40"
"Jan 07, 2021","1,913.60"
"Jan 06, 2021","1,908.60"
"Jan 05, 2021","1,954.40"
"Jan 04, 2021","1,946.60"
"Jan 01, 2021","1,901.60"
"Dec 31, 2020","1,895.10"
"Dec 30, 2020","1,893.40"
"Dec 29, 2020","1,882.90"
"Dec 28, 2020","1,880.40"
"Dec 24, 2020","1,883.20"
"Dec 23, 2020","1,878.10"
"Dec 22, 2020","1,870.30"
"Dec 21, 2020","1,882.80"
"Dec 18, 2020","1,888.90"
"Dec 17, 2020","1,890.40"
"Dec 16, 2020","1,859.10"
"Dec 15, 2020","1,855.30"
"Dec 14, 2020","1,832.10"
"Dec 11, 2020","1,843.60"
"Dec 10, 2020","1,837.40"
"Dec 09, 2020","1,838.50"
"Dec 08, 2020","1,874.90"
"Dec 07, 2020","1,866.00"
"Dec 04, 2020","1,840.00"
"Dec 03, 2020","1,841.10"
"Dec 02, 2020","1,830.20"
"Dec 01, 2020","1,818.90"
"Nov 30, 2020","1,780.90"
"Nov 27, 2020","1,788.10"
"Nov 26, 2020","1,807.00"
"Nov 25, 2020","1,811.20"
"Nov 24, 2020","1,810.90"
"Nov 23, 2020","1,837.80"
"Nov 20, 2020","1,872.40"
"Nov 19, 2020","1,861.50"
"Nov 18, 2020","1,873.90"
"Nov 17, 2020","1,885.10"
"Nov 16, 2020","1,887.80"
"Nov 13, 2020","1,886.20"
"Nov 12, 2020","1,873.30"
"Nov 11, 2020","1,861.60"
"Nov 10, 2020","1,876.40"
"Nov 09, 2020","1,854.40"
"Nov 06, 2020","1,951.70"
"Nov 05, 2020","1,946.80"
"Nov 04, 2020","1,896.20"
"Nov 03, 2020","1,910.40"
"Nov 02, 2020","1,892.50"
"Oct 30, 2020","1,879.90"
"Oct 29, 2020","1,868.00"
"Oct 28, 2020","1,879.20"
"Oct 27, 2020","1,911.90"
"Oct 26, 2020","1,905.70"
"Oct 23, 2020","1,905.20"
"Oct 22, 2020","1,904.60"
"Oct 21, 2020","1,929.50"
"Oct 20, 2020","1,915.40"
"Oct 19, 2020","1,911.70"
"Oct 16, 2020","1,906.40"
"Oct 15, 2020","1,908.90"
"Oct 14, 2020","1,907.30"
"Oct 13, 2020","1,894.60"
"Oct 12, 2020","1,928.90"
"Oct 09, 2020","1,926.20"
"Oct 08, 2020","1,895.10"
"Oct 07, 2020","1,890.80"
"Oct 06, 2020","1,908.80"
"Oct 05, 2020","1,920.10"
"Oct 02, 2020","1,907.60"
"Oct 01, 2020","1,916.30"
"Sep 30, 2020","1,895.50"
"Sep 29, 2020","1,903.20"
"Sep 28, 2020","1,882.30"
"Sep 25, 2020","1,866.30"
"Sep 24, 2020","1,876.90"
"Sep 23, 2020","1,868.40"
"Sep 22, 2020","1,907.60"
"Sep 21, 2020","1,910.60"
"Sep 18, 2020","1,962.10"
"Sep 17, 2020","1,949.90"
"Sep 16, 2020","1,970.50"
"Sep 15, 2020","1,966.20"
"Sep 14, 2020","1,963.70"
"Sep 11, 2020","1,947.90"
"Sep 10, 2020","1,964.30"
"Sep 09, 2020","1,954.90"
"Sep 08, 2020","1,943.20"
"Sep 07, 2020","1,937.10"
"Sep 06, 2020","1,940.65"
"Sep 04, 2020","1,934.30"
"Sep 03, 2020","1,937.80"
"Sep 02, 2020","1,944.70"
"Sep 01, 2020","1,978.90"
"Aug 31, 2020","1,978.60"
"Aug 28, 2020","1,974.90"
"Aug 27, 2020","1,932.60"
"Aug 26, 2020","1,952.50"
"Aug 25, 2020","1,923.10"
"Aug 24, 2020","1,939.20"
"Aug 21, 2020","1,947.00"
"Aug 20, 2020","1,946.50"
"Aug 19, 2020","1,970.30"
"Aug 18, 2020","2,013.10"
"Aug 17, 2020","1,998.70"
"Aug 14, 2020","1,949.80"
"Aug 13, 2020","1,970.40"
"Aug 12, 2020","1,949.00"
"Aug 11, 2020","1,946.30"
"Aug 10, 2020","2,039.70"
"Aug 07, 2020","2,028.00"
"Aug 06, 2020","2,069.40"
"Aug 05, 2020","2,049.30"
"Aug 04, 2020","2,021.00"
"Aug 03, 2020","1,986.30"
"Jul 31, 2020","1,985.90"
"Jul 30, 2020","1,966.80"
"Jul 29, 2020","1,976.70"
"Jul 28, 2020","1,963.90"
"Jul 27, 2020","1,955.40"
"Jul 24, 2020","1,925.20"
"Jul 23, 2020","1,917.40"
"Jul 22, 2020","1,892.60"
"Jul 21, 2020","1,869.60"
"Jul 20, 2020","1,840.10"
"Jul 17, 2020","1,833.70"
"Jul 16, 2020","1,826.50"
"Jul 15, 2020","1,841.60"
"Jul 14, 2020","1,841.50"
"Jul 13, 2020","1,843.70"
"Jul 10, 2020","1,831.30"
"Jul 09, 2020","1,833.50"
"Jul 08, 2020","1,850.60"
"Jul 07, 2020","1,834.30"
"Jul 06, 2020","1,816.10"
"Jul 03, 2020","1,787.60"
"Jul 02, 2020","1,812.00"
"Jul 01, 2020","1,801.90"
"Jun 30, 2020","1,820.40"
"Jun 29, 2020","1,800.10"
"Jun 26, 2020","1,798.50"
"Jun 25, 2020","1,788.40"
"Jun 24, 2020","1,792.60"
"Jun 23, 2020","1,797.10"
"Jun 22, 2020","1,781.70"
"Jun 19, 2020","1,768.60"
"Jun 18, 2020","1,747.90"
"Jun 17, 2020","1,753.40"
"Jun 16, 2020","1,754.40"
"Jun 15, 2020","1,744.90"
"Jun 12, 2020","1,755.20"
"Jun 11, 2020","1,757.60"
"Jun 10, 2020","1,739.00"
"Jun 09, 2020","1,740.30"
"Jun 08, 2020","1,723.80"
"Jun 05, 2020","1,701.90"
"Jun 04, 2020","1,746.40"
"Jun 03, 2020","1,723.50"
"Jun 02, 2020","1,749.70"
"Jun 01, 2020","1,763.70"
"May 29, 2020","1,765.70"
"May 28, 2020","1,742.70"
"May 27, 2020","1,740.50"
"May 26, 2020","1,740.50"
"May 25, 2020","1,727.00"
"May 24, 2020","1,730.65"
"May 22, 2020","1,765.60"
"May 21, 2020","1,750.40"
"May 20, 2020","1,781.70"
"May 19, 2020","1,773.40"
"May 18, 2020","1,760.60"
"May 15, 2020","1,778.70"
"May 14, 2020","1,762.00"
"May 13, 2020","1,737.30"
"May 12, 2020","1,728.00"
"May 11, 2020","1,720.90"
"May 08, 2020","1,735.20"
"May 07, 2020","1,743.70"
"May 06, 2020","1,704.40"
"May 05, 2020","1,728.00"
"May 04, 2020","1,725.90"
"May 01, 2020","1,712.00"
"Apr 30, 2020","1,704.90"
"Apr 29, 2020","1,722.40"
"Apr 28, 2020","1,731.20"
"Apr 27, 2020","1,731.40"
"Apr 24, 2020","1,741.70"
"Apr 23, 2020","1,751.00"
"Apr 22, 2020","1,743.50"
"Apr 21, 2020","1,692.10"
"Apr 20, 2020","1,715.30"
"Apr 17, 2020","1,702.70"
"Apr 16, 2020","1,736.30"
"Apr 15, 2020","1,744.70"
"Apr 14, 2020","1,771.20"
"Apr 13, 2020","1,762.70"
"Apr 10, 2020","1,740.60"
"Apr 09, 2020","1,753.60"
"Apr 08, 2020","1,684.10"
"Apr 07, 2020","1,683.70"
"Apr 06, 2020","1,693.10"
"Apr 03, 2020","1,646.50"
"Apr 02, 2020","1,638.90"
"Apr 01, 2020","1,592.50"
"Mar 31, 2020","1,597.60"
"Mar 30, 2020","1,644.10"
"Mar 27, 2020","1,655.00"
"Mar 26, 2020","1,662.00"
"Mar 25, 2020","1,633.30"
"Mar 24, 2020","1,663.00"
"Mar 23, 2020","1,581.40"
"Mar 20, 2020","1,495.10"
"Mar 19, 2020","1,489.40"
"Mar 18, 2020","1,487.10"
"Mar 17, 2020","1,534.10"
"Mar 16, 2020","1,493.80"
"Mar 13, 2020","1,524.90"
"Mar 12, 2020","1,598.80"
"Mar 11, 2020","1,650.80"
"Mar 10, 2020","1,669.00"
"Mar 09, 2020","1,684.10"
"Mar 06, 2020","1,683.00"
"Mar 05, 2020","1,680.40"
"Mar 04, 2020","1,656.50"
"Mar 03, 2020","1,658.80"
"Mar 02, 2020","1,609.70"
"Feb 28, 2020","1,583.60"
"Feb 27, 2020","1,661.40"
"Feb 26, 2020","1,662.90"
"Feb 25, 2020","1,670.20"
"Feb 24, 2020","1,697.10"
"Feb 21, 2020","1,669.10"
"Feb 20, 2020","1,640.80"
"Feb 19, 2020","1,632.20"
"Feb 18, 2020","1,624.00"
"Feb 17, 2020","1,587.05"
"Feb 16, 2020","1,586.25"
"Feb 14, 2020","1,606.90"
"Feb 13, 2020","1,599.60"
