Date,DI
"Mar 29, 2021",92.922
"Mar 26, 2021",92.775
"Mar 25, 2021",92.826
"Mar 24, 2021",92.53
"Mar 23, 2021",92.347
"Mar 22, 2021",91.741
"Mar 19, 2021",91.925
"Mar 18, 2021",91.87
"Mar 17, 2021",91.435
"Mar 16, 2021",91.88
"Mar 15, 2021",91.852
"Mar 12, 2021",91.678
"Mar 11, 2021",91.418
"Mar 10, 2021",91.828
"Mar 09, 2021",91.964
"Mar 08, 2021",92.334
"Mar 05, 2021",91.99
"Mar 04, 2021",91.644
"Mar 03, 2021",90.942
"Mar 02, 2021",90.79
"Mar 01, 2021",91.036
"Feb 26, 2021",90.882
"Feb 25, 2021",90.135
"Feb 24, 2021",90.17
"Feb 23, 2021",90.167
"Feb 22, 2021",89.999
"Feb 19, 2021",90.363
"Feb 18, 2021",90.6
"Feb 17, 2021",90.949
"Feb 16, 2021",90.503
"Feb 15, 2021",90.47
"Feb 12, 2021",90.47
"Feb 11, 2021",90.413
"Feb 10, 2021",90.363
"Feb 09, 2021",90.429
"Feb 08, 2021",90.919
"Feb 05, 2021",91.032
"Feb 04, 2021",91.52
"Feb 03, 2021",91.148
"Feb 02, 2021",91.189
"Feb 01, 2021",90.975
"Jan 29, 2021",90.569
"Jan 28, 2021",90.427
"Jan 27, 2021",90.64
"Jan 26, 2021",90.148
"Jan 25, 2021",90.373
"Jan 22, 2021",90.212
"Jan 21, 2021",90.127
"Jan 20, 2021",90.469
"Jan 19, 2021",90.476
"Jan 18, 2021",90.754
"Jan 15, 2021",90.754
"Jan 14, 2021",90.215
"Jan 13, 2021",90.334
"Jan 12, 2021",90.064
"Jan 11, 2021",90.442
"Jan 08, 2021",90.068
"Jan 07, 2021",89.791
"Jan 06, 2021",89.502
"Jan 05, 2021",89.409
"Jan 04, 2021",89.845
"Dec 31, 2020",89.894
"Dec 30, 2020",89.649
"Dec 29, 2020",89.918
"Dec 28, 2020",90.275
"Dec 24, 2020",90.25
"Dec 23, 2020",90.34
"Dec 22, 2020",90.546
"Dec 21, 2020",89.949
"Dec 18, 2020",89.953
"Dec 17, 2020",89.741
"Dec 16, 2020",90.359
"Dec 15, 2020",90.409
"Dec 14, 2020",90.731
"Dec 11, 2020",90.97
"Dec 10, 2020",90.82
"Dec 09, 2020",91.083
"Dec 08, 2020",90.968
"Dec 07, 2020",90.789
"Dec 04, 2020",90.694
"Dec 03, 2020",90.718
"Dec 02, 2020",91.115
"Dec 01, 2020",91.297
"Nov 30, 2020",91.858
"Nov 27, 2020",91.801
"Nov 26, 2020",91.966
"Nov 25, 2020",91.966
"Nov 24, 2020",92.22
"Nov 23, 2020",92.494
"Nov 20, 2020",92.395
"Nov 19, 2020",92.284
"Nov 18, 2020",92.311
"Nov 17, 2020",92.398
"Nov 16, 2020",92.63
"Nov 13, 2020",92.75
"Nov 12, 2020",92.956
"Nov 11, 2020",93.024
"Nov 10, 2020",92.736
"Nov 09, 2020",92.715
"Nov 06, 2020",92.225
"Nov 05, 2020",92.516
"Nov 04, 2020",93.411
"Nov 03, 2020",93.56
"Nov 02, 2020",94.145
